,title,artist
0,Tutti-Frutti,Little Richard
1,Maybellene,Chuck Berry
2,Speedo,The Cadillacs
3,Heartbreak Hotel,Elvis Presley
4,Roll over Beethoven,Chuck Berry
5,Fever,Little Willie John
6,Whole Lot of Shakin' Going On,Jerry Lee Lewis
7,That'll Be the Day,The Crickets
8,School Day,Chuck Berry
9,Johnny B Goode,Chuck Berry
10,Little Star,The Elegants
11,For Your Precious Love,The Impressions
12,What'd I Say,Ray Charles
13,There Goes My Baby,The Drifters
14,Back in the U.S.A,Chuck Berry
15,Stay,Maurice Williams & The Zodiacs
16,Only the Lonely (Know How I Feel),Roy Orbison
17,Money (That's What I Want),Barrett Strong
18,Stand By Me,"King, Ben E"
19,The Wanderer,Dion
20,Quarter to Three,"Bonds, Gary U.S."
21,The Loco-Motion,Little Eva
22,Up on the Roof,The Drifters
23,Twist and Shout,The Isley Brothers
24,Da Doo Ron Ron,The Crystals
25,He's So Fine,The Chiffons
26,Louie Louie,The Kingsmen
27,You've Lost That Lovin' Feelin',The Righteous Brothers
28,She Loves You,The Beatles
29,I Get Around,The Beach Boys
30,(I Can't Get No) Satisfaction,The Rolling Stones
31,We Can Work It Out,The Beatles
32,A Change Is Gonna Come,Sam Cooke
33,Reach Out I'll Be There,Four Tops
34,Paint It Black,The Rolling Stones
35,Try a Little Tenderness,Otis Redding
36,Respect,Aretha Franklin
37,"Hello, Goodbye",The Beatles
38,Soul Man,Sam and Dave
39,Dance to the Music,Sly And The Family Stone
40,Mony Mony,Tommy James & the Shondells
41,I Heard It Through the Grapevine,Marvin Gaye
42,I Want You Back,The Jackson 5
43,Suspicious Minds,Elvis Presley
44,Come Together,The Beatles
45,Who'll Stop the Rain,Creedence Clearwater Revival
46,Instant Karma (We All Shine On),John Lennon
47,My Sweet Lord,George Harrison
48,Have You Seen Her,The Chi-Lites
49,Family Affair,Sly And The Family Stone
50,What's Going On,Marvin Gaye
51,Crocodile Rock,Elton John
52,Layla,Derek And The Dominos
53,Papa Was a Rollin' Stone,The Temptations
54,Drift Away,Dobie Gray
55,My Love,Paul McCartney
56,Let's Get It On,Marvin Gaye
57,Living for the City,Stevie Wonder
58,You Make Me Feel Brand New,The Stylistics
59,The Air That I Breathe,The Hollies
60,"December, 1963 (Oh, What a Night)",The Four Seasons
61,Bad Luck (Part 1),Harold Melvin & The Blue Notes
62,I'm Not in Love,10cc
63,"Wake Up, Everybody (Part 1)",Harold Melvin & The Blue Notes
64,If You Leave Me Now,Chicago
65,Love to Love You Baby,Donna Summer
66,When I Need You,Leo Sayer
67,More Than a Feeling,Boston
68,We Are the Champions,Queen
69,Stayin' Alive,Bee Gees
70,Da Ya Think I'm Sexy?,Rod Stewart
71,Disco Infemo,The Trammps
72,Hot Stuff,Donna Summer
73,Another Brick in the Wall,Pink Floyd
74,Reunited,Peaches And Herb
75,Keep On Loving You,REO Speedwagon
76,Don't Stand So Close to Me,The Police
77,Another Brick in the Wall,Pink Floyd
78,Start Me Up,The Rolling Stones
79,I Love Rock 'n Roll,Joan Jett
80,Centerfold,J. Geils Band
81,Every Breath You Take,The Police
82,I Love Rock 'N Roll,Joan Jett & The Blackhearts
83,867-5309 / Jenny,Tommy Tutone
84,Every Breath You Take,The Police
85,Photograph,Def Leppard
86,She's A Beauty,The Tubes
87,I Want to Know What Love Is,Foreigner
88,Jump,Van Halen
89,Easy Lover,Philip Bailey
90,Money for Nothing,Dire Straits
91,Kyrie,Mr. Mister
92,The Old Man Down The Road,John Fogerty
93,Livin' on a Prayer,Bon Jovi
94,Higher Love,Steve Winwood
95,Stages,ZZ Top
96,With or without You,U2
97,My Baby,The Pretenders
98,Livin' On A Prayer,Bon Jovi
99,Orange Crush,R.E.M.
100,Angel of Harlem,U2
101,Desire,U2
102,Black Velvet,Alannah Myles
103,So Alive,Love and Rockets
104,Downtown Train,Rod Stewart
105,"Right Here, Right Now",Jesus Jones
106,Unbelievable,EMF
107,Wicked Game,Chris Isaak
108,Mysterious Ways,U2
109,Lift Me Up,Yes
110,Losing My Religion,R.E.M.
111,Steam,Peter Gabriel
112,Ordinary World,Duran Duran
113,Man on the Moon,R.E.M.
114,Mr. Jones,Counting Crows
115,Daughter,Pearl Jam
116,(I Can't Help) Falling in Love with You,UB40
117,When I Come Around,Green Day
118,Interstate Love Song,Stone Temple Pilots
119,Better Man,Pearl Jam
120,Lightning Crashes,Live
121,Better Man,Pearl Jam
122,When I Come Around,Green Day
123,One Headlight,The Wallflowers
124,Until It Sleeps,Metallica
125,Swallowed,Bush
126,Sex and Candy,Marcy Playground
127,"Touch, Peel and Stand",Days of the New
128,One Headlight,The Wallflowers
129,What It's Like,Everlast
130,Every Morning,Sugar Ray
131,The Way,Fastball
132,Scar Tissue,Red Hot Chili Peppers
133,What It's Like,Everlast
134,Every Morning,Sugar Ray
135,Loser,3 Doors Down
136,Hanging by a Moment,Lifehouse
137,Kryptonite,3 Doors Down
138,How You Remind Me,Nickelback
139,It's Been Awhile,Staind
140,Blurry,Puddle of Mudd
141,When I'm Gone,3 Doors Down
142,Blurry,Puddle Of Mudd
143,By the Way,Red Hot Chili Peppers
144,So Far Away,Staind
145,Headstrong,Trapt
146,Like a Stone,Audioslave
147,Figured You Out,Nickelback
148,Boulevard of Broken Dreams,Green Day
149,Fall to Pieces,Velvet Revolver
150,Best of You,Foo Fighters
151,Save Me,Shinedown
152,Photograph,Nickelback
153,Dani California,Red Hot Chili Peppers
154,Pain,Three Days Grace
155,Animals,Nickelback
156,What I've Done,Linkin Park
157,The Pretender,Foo Fighters
158,Fake It,Seether
159,Use Somebody,Kings of Leon
160,Psycho,Puddle Of Mudd
161,Inside the Fire,Disturbed
162,New Divide,Linkin Park
163,Boom Boom Pow,The Black Eyed Peas
164,I Gotta Feeling,The Black Eyed Peas
165,The Sex Is Good,Saving Abel
166,Another Way to Die,Disturbed
167,Resistance,Muse
168,Rope,Foo Fighters
169,Face To The Floor,Chevelle
170,Lonely Boy,The Black Keys
171,Somebody That I Used To Know,Gotye featuring Kimbra
172,Madness,Muse
173,Chalk Outline,Three Days Grace
174,Radioactive,Imagine Dragons
175,Sweater Weather,The Neighbourhood
176,Hail To The King,Avenged Sevenfold
177,Something From Nothing,Foo Fighters
178,Fever,The Black Keys
179,Do I Wanna Know?,Arctic Monkeys
180,Stressed Out,twenty one pilots
181,Renegades,X Ambassadors
182,Failure,Breaking Benjamin
183,Heathens,twenty one pilots
184,The Devil's Bleeding Crown,Volbeat
185,My Name Is Human,Highly Suspect
186,Feel It Still,Portugal. The Man
187,Believer,Imagine Dragons
188,Thunder,Imagine Dragons
189,Broken,lovelytheband
190,Happier,Marshmello & Bastille
191,Thunder,Imagine Dragons
192,High Hopes,Panic! At The Disco
193,Trampoline,Shaed
194,Bad Guy,Billie Eilish
195,Level Of Concern,twenty one pilots
196,Bang!,AJR
197,Mood,24kGoldn featuring iann Dior
198,Waiting On A War,Foo Fighters
199,Monsters,All Time Low featuring blackbear
200,Mood,24kGoldn featuring iann Dior
